Date,HIGH_T,LOW_T,PRECIP,BB_COUNT
24-May-17,66.90,57.00,0.04,2969
25-May-17,57.90,55.90,0.58,488
26-May-17,73.00,55.90,0.10,2590
27-May-17,71.10,61.00,0.00,2609
28-May-17,71.10,59.00,0.00,2640
29-May-17,57.90,55.90,0.13,836
30-May-17,59.00,55.90,0.06,2301
31-May-17,75.00,57.90,0.03,2689
1-Jun-17,78.10,62.10,0.00,3468
2-Jun-17,73.90,60.10,0.01,3271
3-Jun-17,72.00,55.00,0.01,2589
4-Jun-17,68.00,60.10,0.09,1805
5-Jun-17,66.90,60.10,0.02,2171
6-Jun-17,55.90,53.10,0.06,1193
7-Jun-17,66.90,54.00,0.00,3211
8-Jun-17,68.00,59.00,0.00,3253
9-Jun-17,80.10,59.00,0.00,3401
10-Jun-17,84.00,68.00,0.00,3066
11-Jun-17,90.00,73.00,0.00,2465
12-Jun-17,91.90,77.00,0.00,2854
13-Jun-17,93.90,78.10,0.01,2882
14-Jun-17,84.00,69.10,0.29,2596
15-Jun-17,75.00,66.00,0.00,3510
16-Jun-17,68.00,66.00,0.00,2054
17-Jun-17,73.00,66.90,1.39,1399
18-Jun-17,84.00,72.00,0.01,2199
19-Jun-17,87.10,70.00,1.35,1648
20-Jun-17,82.00,72.00,0.03,3407
21-Jun-17,82.00,72.00,0.00,3304
22-Jun-17,82.00,70.00,0.00,3368
23-Jun-17,82.90,75.90,0.04,2283
24-Jun-17,82.90,71.10,1.29,2307
25-Jun-17,82.00,69.10,0.00,2625
26-Jun-17,78.10,66.00,0.00,3386
27-Jun-17,75.90,61.00,0.18,3182
28-Jun-17,78.10,62.10,0.00,3766
29-Jun-17,81.00,68.00,0.00,3356
30-Jun-17,88.00,73.90,0.01,2687
1-Jul-17,84.90,72.00,0.23,1848
2-Jul-17,87.10,73.00,0.00,2467
3-Jul-17,87.10,71.10,0.45,2714
4-Jul-17,82.90,70.00,0.00,2296
5-Jul-17,84.90,71.10,0.00,3170
6-Jul-17,75.00,71.10,0.01,3065
7-Jul-17,79.00,68.00,1.78,1513
8-Jul-17,82.90,70.00,0.00,2718
9-Jul-17,81.00,69.10,0.00,3048
10-Jul-17,82.90,71.10,0.00,3506
11-Jul-17,84.00,75.00,0.00,2929
12-Jul-17,87.10,77.00,0.00,2860
13-Jul-17,89.10,77.00,0.00,2563
14-Jul-17,69.10,64.90,0.35,907
15-Jul-17,82.90,68.00,0.00,2853
16-Jul-17,84.90,70.00,0.00,2917
17-Jul-17,84.90,73.90,0.00,3264
18-Jul-17,87.10,75.90,0.00,3507
19-Jul-17,91.00,77.00,0.00,3114
20-Jul-17,93.00,78.10,0.01,2840
21-Jul-17,91.00,77.00,0.00,2751
22-Jul-17,91.00,78.10,0.57,2301
23-Jul-17,78.10,73.00,0.06,2321
24-Jul-17,69.10,63.00,0.74,1576
25-Jul-17,71.10,64.00,0.00,3191
26-Jul-17,75.90,66.00,0.00,3821
27-Jul-17,77.00,66.90,0.01,3287
28-Jul-17,84.90,73.00,0.00,3123
29-Jul-17,75.90,68.00,0.00,2074
30-Jul-17,81.00,64.90,0.00,3331
31-Jul-17,88.00,66.90,0.00,3560
1-Aug-17,91.00,72.00,0.00,3492
2-Aug-17,86.00,69.10,0.09,2637
3-Aug-17,86.00,70.00,0.00,3346
4-Aug-17,82.90,70.00,0.15,2400
5-Aug-17,77.00,70.00,0.30,3409
6-Aug-17,75.90,64.00,0.00,3130
7-Aug-17,71.10,64.90,0.76,804
8-Aug-17,77.00,66.00,0.00,3598
9-Aug-17,82.90,66.00,0.00,3893
10-Aug-17,82.90,69.10,0.00,3423
11-Aug-17,81.00,70.00,0.01,3148
12-Aug-17,75.90,64.90,0.11,4146
13-Aug-17,82.00,71.10,0.00,3274
14-Aug-17,80.10,70.00,0.00,3291
15-Aug-17,73.00,69.10,0.45,2149
16-Aug-17,84.90,70.00,0.00,3685
17-Aug-17,82.00,71.10,0.00,3637
18-Aug-17,81.00,73.00,0.88,1064
19-Aug-17,84.90,73.00,0.00,4693
20-Aug-17,81.00,70.00,0.00,2822
21-Aug-17,84.90,73.00,0.00,3088
22-Aug-17,88.00,75.00,0.30,2983
23-Aug-17,80.10,71.10,0.01,2994
24-Aug-17,79.00,66.00,0.00,3688
25-Aug-17,78.10,64.00,0.00,3144
26-Aug-17,77.00,62.10,0.00,2710
27-Aug-17,77.00,63.00,0.00,2676
28-Aug-17,75.00,63.00,0.00,3332
29-Aug-17,68.00,62.10,0.10,1472
30-Aug-17,75.90,61.00,0.01,3468
31-Aug-17,81.00,64.00,0.00,3279
1-Sep-17,70.00,55.00,0.00,2945
2-Sep-17,66.90,54.00,0.53,1876
3-Sep-17,69.10,60.10,0.74,1004
4-Sep-17,79.00,62.10,0.00,2866
5-Sep-17,84.00,70.00,0.01,3244
6-Sep-17,70.00,62.10,0.42,1232
7-Sep-17,71.10,59.00,0.01,3249
8-Sep-17,70.00,59.00,0.00,3234
9-Sep-17,69.10,55.00,0.00,2609
10-Sep-17,72.00,57.00,0.00,4960
11-Sep-17,75.90,55.00,0.00,3657
12-Sep-17,78.10,61.00,0.00,3497
13-Sep-17,82.00,64.90,0.06,2994
14-Sep-17,81.00,70.00,0.02,3013
15-Sep-17,81.00,66.90,0.00,3344
16-Sep-17,82.00,70.00,0.00,2560
17-Sep-17,80.10,70.00,0.00,2676
18-Sep-17,73.00,69.10,0.00,2673
19-Sep-17,78.10,69.10,0.22,2012
20-Sep-17,78.10,71.10,0.00,3296
21-Sep-17,80.10,71.10,0.00,3317
22-Sep-17,82.00,66.00,0.00,3297
23-Sep-17,86.00,68.00,0.00,2810
24-Sep-17,90.00,69.10,0.00,2543
25-Sep-17,87.10,72.00,0.00,3276
26-Sep-17,82.00,69.10,0.00,3157
27-Sep-17,84.90,71.10,0.00,3216
28-Sep-17,78.10,66.00,0.00,3421
29-Sep-17,66.90,55.00,0.00,2988
30-Sep-17,64.00,55.90,0.00,1903
1-Oct-17,66.90,50.00,0.00,2297
2-Oct-17,72.00,52.00,0.00,3387
3-Oct-17,70.00,57.00,0.00,3386
4-Oct-17,75.00,55.90,0.00,3412
5-Oct-17,82.00,64.90,0.00,3312
6-Oct-17,81.00,69.10,0.00,2982
7-Oct-17,80.10,66.00,0.00,2750
8-Oct-17,77.00,72.00,0.22,1235
9-Oct-17,75.90,72.00,0.26,898
10-Oct-17,80.10,66.00,0.00,3922
11-Oct-17,75.00,64.90,0.06,2721
12-Oct-17,63.00,55.90,0.07,2411
13-Oct-17,64.90,52.00,0.00,2839
14-Oct-17,71.10,62.10,0.08,2021
15-Oct-17,72.00,66.00,0.01,2169
16-Oct-17,60.10,52.00,0.01,2751
17-Oct-17,57.90,43.00,0.00,2869
18-Oct-17,71.10,50.00,0.00,3264
19-Oct-17,70.00,55.90,0.00,3265
20-Oct-17,73.00,57.90,0.00,3169
21-Oct-17,78.10,57.00,0.00,2538
22-Oct-17,75.90,57.00,0.00,2744
23-Oct-17,73.90,64.00,0.00,3189
24-Oct-17,73.00,66.90,0.20,954
25-Oct-17,64.90,57.90,0.00,3367
26-Oct-17,57.00,53.10,0.00,2565
27-Oct-17,62.10,48.00,0.00,3150
28-Oct-17,68.00,55.90,0.00,2245
29-Oct-17,64.90,61.00,3.03,183
30-Oct-17,55.00,46.00,0.25,1428
31-Oct-17,54.00,44.00,0.00,2727
